#{"t_start": 1745328176.835186, "env_id": "None"}
r,l,t
719.229026,33,297.701676
1638.502724,62,297.974856
930.246022,47,298.174572
765.249273,37,298.355132
544.971526,33,298.491144
3234.597172,104,298.998849
2745.791857,100,299.415622
1996.451909,76,299.714861
788.208897,52,299.974181
2385.231341,78,300.31496
2112.251313,91,300.711262
830.941524,43,300.88176
3221.918617,101,301.285555
976.714173,54,301.502459
1389.504803,59,301.755009
3188.61402,102,302.192093
965.903306,51,302.451373
2254.672289,76,302.807319
1101.22474,48,303.005524
737.425834,36,303.17278
2148.18331,80,303.56488
682.233016,37,303.759688
1482.456988,59,307.491144
856.875905,40,307.696933
481.958599,33,307.86654
808.286315,44,308.074258
2425.773969,89,308.489141
3270.757643,100,308.925156
1574.190093,63,309.23048
2908.524558,90,309.679922
657.12306,35,309.860002
2052.657638,71,310.155086
2619.838465,101,310.625685
973.559831,43,310.819993
1280.366521,59,311.131476
3297.748273,109,311.651001
3361.021036,100,312.072838
2963.322962,105,312.535504
2241.341327,78,312.871768
2710.851855,103,313.293206
1794.835746,64,313.591713
726.378393,38,313.755301
755.039007,42,313.956664
1091.9833,45,314.158731
2179.379497,82,314.516812
1226.24418,56,314.754195
593.159367,35,314.92606
596.858515,30,315.084867
2736.808128,85,315.514715
1124.217301,55,315.805586
1744.125849,63,316.059983
720.977102,38,316.250132
695.395537,41,316.464463
1095.961328,44,316.661414
3140.627272,92,320.368471
793.943002,35,320.548107
1047.845953,48,320.78376
1529.225982,59,321.013838
1083.687768,46,321.214976
1291.794965,52,321.445253
972.638997,42,321.632699
2670.080595,92,322.031312
2933.058476,85,322.375799
2242.528105,80,322.773338
916.374353,45,322.998408
2664.57795,92,323.371862
702.753889,36,323.557189
466.940539,31,323.715579
2840.245322,96,324.097009
1349.180807,51,324.370241
1366.788216,55,324.638148
1968.923001,73,324.926676
780.50167,37,325.094834
3783.414139,115,325.581332
1821.229824,67,325.87396
2027.547288,70,326.157664
3098.72977,101,326.588841
1962.929957,70,326.897194
2523.9371,84,327.259985
1095.636189,50,327.491065
1483.762451,60,327.764858
401.944628,27,327.903522
